,number,value,datetime_start,datetime_complete,duration,params_beta1,params_beta2,params_channelExponent,params_dropout,params_learning_rate,params_weight_decay,state
14,14,4.364657462933363,2024-04-29 11:54:09.790828,2024-04-29 12:07:18.807850,0 days 00:13:09.017022,0.8937224973038075,0.5279353202989492,8,0.023450939774643215,0.0012511647475481774,3.882719033059687e-06,COMPLETE
15,15,3.435105447645311,2024-04-29 11:54:38.826113,2024-04-29 12:08:22.606178,0 days 00:13:43.780065,0.7905202376779223,0.836459760961911,8,0.029647570545146964,0.00022702843073733533,7.704071797742101e-06,COMPLETE
16,16,4.896981271314415,2024-04-29 12:02:03.703615,2024-04-29 12:14:44.459454,0 days 00:12:40.755839,0.784030161691982,0.8437503198429813,8,0.028891133709620674,0.005349985466750761,9.472185826926031e-06,COMPLETE
17,17,3.531619997767659,2024-04-29 12:03:10.090804,2024-04-29 12:15:19.629897,0 days 00:12:09.539093,0.777263191051386,0.9933307472355559,7,0.009668415275818042,0.0007650439368474453,3.288540482046698e-06,COMPLETE
18,18,4.055711325112876,2024-04-29 12:07:18.830575,2024-04-29 12:17:32.064407,0 days 00:10:13.233832,0.7817546738728204,0.9984422542847173,7,0.07140510164791791,0.007763122964926061,1.24811015755856e-06,COMPLETE
19,19,3.631692036921844,2024-04-29 12:08:22.624046,2024-04-29 12:18:09.614123,0 days 00:09:46.990077,0.7567202647778787,0.9951798647676475,7,0.08838638559334826,0.00016541965243617853,3.0990701002180407e-06,COMPLETE
20,20,3.612769856597438,2024-04-29 12:14:44.485015,2024-04-29 12:22:33.898414,0 days 00:07:49.413399,0.7602548308220403,0.9850567358825822,7,0.10115674457940907,0.000201508190795774,1.4855986852000647e-06,COMPLETE
21,21,3.698977037941739,2024-04-29 12:15:19.646590,2024-04-29 12:23:12.611312,0 days 00:07:52.964722,0.7464573287532394,0.991150675967498,7,0.09820614866904631,0.0002630689901182829,7.38892802155992e-05,COMPLETE
22,22,3.947789968350233,2024-04-29 12:17:32.088485,2024-04-29 12:26:24.069248,0 days 00:08:51.980763,0.6658836306924284,0.7215500106221294,7,0.10417384146576877,0.0001173423472964533,7.251611712700858e-05,COMPLETE
23,23,4.768755915877107,2024-04-29 12:18:09.631036,2024-04-29 12:27:34.754047,0 days 00:09:25.123011,0.7235576771666117,0.7386639168387823,7,0.23425819767679937,0.0013110558583084853,7.11508322023389e-05,COMPLETE
24,24,4.427566980386709,2024-04-29 12:22:33.913938,2024-04-29 12:35:44.566123,0 days 00:13:10.652185,0.6774608628558613,0.9314183543365365,7,0.11972390894117657,0.0014041329713812799,1.644869644643374e-05,COMPLETE
25,25,4.4052321147093005,2024-04-29 12:23:12.625471,2024-04-29 12:38:04.402482,0 days 00:14:51.777011,0.6854640128080924,0.9311247268950237,8,0.21031586364065732,0.0013352326974136093,1.3836231233403913e-05,COMPLETE
26,26,4.562224648215554,2024-04-29 12:26:24.088436,2024-04-29 12:44:10.373722,0 days 00:17:46.285286,0.8278241484832507,0.9271525836130663,8,0.25360551851139396,0.001401088768305021,1.1739253351162295e-05,COMPLETE
27,27,4.000886762296998,2024-04-29 12:27:34.772660,2024-04-29 12:45:51.410029,0 days 00:18:16.637369,0.8136497200978706,0.9262654555634316,8,0.0551006036273246,0.0014295725370769585,1.0449894911954458e-05,COMPLETE
28,28,3.780903344546562,2024-04-29 12:35:44.583708,2024-04-29 12:53:14.522194,0 days 00:17:29.938486,0.8159591370639186,0.8199599543417619,8,0.007614968107311975,0.0017062505363018645,1.0092301561390806e-05,COMPLETE
29,29,3.649778209207378,2024-04-29 12:38:04.418257,2024-04-29 12:55:16.189917,0 days 00:17:11.771660,0.8192537077935725,0.8487901167316089,8,0.05069078022949935,0.0021196913386012164,2.4546434292829155e-05,COMPLETE
30,30,3.929007706704078,2024-04-29 12:44:10.395676,2024-04-29 12:58:52.903680,0 days 00:14:42.508004,0.8180572512117712,0.8057138663293141,8,0.05676548125569656,0.0020878849618287737,2.4473272152753425e-05,COMPLETE
31,31,3.975688339827897,2024-04-29 12:45:51.432378,2024-04-29 12:59:36.861321,0 days 00:13:45.428943,0.734301026217351,0.8105703137981315,7,0.0014005448159231902,0.002334847077600534,2.5689041898438536e-05,COMPLETE
32,32,4.656299244273793,2024-04-29 12:53:14.540824,2024-04-29 13:02:45.904257,0 days 00:09:31.363433,0.5148303761175286,0.8846025114282552,7,0.15164443734707406,0.0022430434038098086,2.0803323346725386e-05,COMPLETE
33,33,4.638925384133409,2024-04-29 12:55:16.204742,2024-04-29 13:03:50.049423,0 days 00:08:33.844681,0.5093456802109914,0.8874997090421114,7,0.15498909984263365,0.0007643758310293708,2.457356446601959e-05,COMPLETE
34,34,4.645473380109449,2024-04-29 12:58:52.935367,2024-04-29 13:05:58.427264,0 days 00:07:05.491897,0.5041675606245536,0.9620579975145348,7,0.15397034890239003,0.0007922679496007167,6.8956027578635825e-06,COMPLETE
35,35,4.202906413511797,2024-04-29 12:59:36.880728,2024-04-29 13:06:25.053758,0 days 00:06:48.173030,0.7603429143046743,0.9685957579804501,7,0.15649333014944267,0.0006743510889508869,6.649483382676445e-06,COMPLETE
36,36,4.011896340877978,2024-04-29 13:02:45.924194,2024-04-29 13:07:48.661648,0 days 00:05:02.737454,0.7552384121664629,0.9570068666722277,6,0.08403930802333892,0.0007923974782146626,6.891027547474482e-06,COMPLETE
37,37,3.9704807640670183,2024-04-29 13:03:50.070361,2024-04-29 13:08:25.800260,0 days 00:04:35.729899,0.7637517209284651,0.9699559505493409,6,0.08752419491379239,0.0005081235337610211,5.231686478366183e-06,COMPLETE
38,38,4.118800746414053,2024-04-29 13:05:58.451976,2024-04-29 13:09:40.112426,0 days 00:03:41.660450,0.7623231104940182,0.9678910370462679,6,0.0844920023335196,0.0007073444240247684,3.9082483877689005e-06,COMPLETE
39,39,4.199450292628565,2024-04-29 13:06:25.084050,2024-04-29 13:09:59.123982,0 days 00:03:34.039932,0.7628388123311609,0.963580114655664,6,0.08277244283414029,0.0007696204527168661,4.014981318776752e-05,COMPLETE
40,40,4.383534087763204,2024-04-29 13:07:48.679660,2024-04-29 13:11:01.902514,0 days 00:03:13.222854,0.7700728721084359,0.7739605012395102,6,0.08983071770819459,0.0029332328665114204,4.00112966481836e-05,COMPLETE
