,number,value,datetime_start,datetime_complete,duration,params_beta1,params_beta2,params_hidden_dim,params_learning_rate,params_num_heads,params_num_layers,params_weight_decay,state
55,55,0.042877566859577644,2024-05-01 14:18:44.268198,2024-05-01 15:18:54.064432,0 days 01:00:09.796234,0.6597523977592763,0.7170293824231324,640,0.009607251717555715,2,2,9.217384746096402e-06,COMPLETE
56,56,0.06101445498920623,2024-05-01 14:18:44.414020,2024-05-01 15:20:10.074676,0 days 01:01:25.660656,0.5131696512074474,0.5819966442241982,512,0.004165833583804099,8,1,7.61564696869959e-05,COMPLETE
57,57,0.03613910386217879,2024-05-01 14:18:44.380819,2024-05-01 15:19:24.273917,0 days 01:00:39.893098,0.880744568016407,0.8402427043282463,768,0.0077445639012797855,2,1,9.828677900519123e-05,COMPLETE
58,58,0.07181705322390769,2024-05-01 14:18:44.726943,2024-05-01 14:51:09.288538,0 days 00:32:24.561595,0.6719870821549168,0.6028865987735568,128,0.0072321657782382425,16,4,6.442156088441068e-05,COMPLETE
59,59,0.14793801795110686,2024-05-01 14:18:44.776434,2024-05-01 15:10:38.373390,0 days 00:51:53.596956,0.6329048318144251,0.9020714858137202,896,0.0039872968255043224,4,3,7.321683470483621e-05,COMPLETE
60,60,0.0901540026100941,2024-05-01 14:18:45.188964,2024-05-01 15:20:08.004782,0 days 01:01:22.815818,0.502824045104916,0.5211207565683479,896,0.009822590596128104,4,1,9.112095105268332e-05,COMPLETE
61,61,0.042131564680696565,2024-05-01 14:18:46.149695,2024-05-01 15:19:16.030759,0 days 01:00:29.881064,0.5401301218512816,0.8453329617932424,384,0.009064787138336554,16,2,9.614164875064358e-06,COMPLETE
62,62,0.04423865409834044,2024-05-01 14:18:46.336207,2024-05-01 15:16:42.410884,0 days 00:57:56.074677,0.6751884912325523,0.6121023329934793,384,0.0033502421471420063,8,2,3.783597592320231e-05,COMPLETE
63,63,0.1646854609041374,2024-05-01 14:18:48.193735,2024-05-01 14:58:02.014806,0 days 00:39:13.821071,0.7532921476801941,0.811746231213257,384,0.005090488625149319,16,4,3.250074811048096e-05,COMPLETE
64,64,0.06550908050382938,2024-05-01 14:20:32.964036,2024-05-01 14:22:53.397883,0 days 00:02:20.433847,0.8716533750312296,0.6396344963304078,768,0.00233114098532543,16,4,1.6484039690253773e-05,COMPLETE
