Epoch: 187, batch-idx: 735, L1: 0.6436344981193542
Epoch: 188, batch-idx: 735, L1: 0.547775149345398
Epoch: 189, batch-idx: 735, L1: 0.5886297821998596
Epoch: 190, batch-idx: 735, L1: 0.6847153306007385
Epoch: 191, batch-idx: 735, L1: 0.7089477777481079
Epoch: 192, batch-idx: 735, L1: 0.6450920104980469
Epoch: 193, batch-idx: 735, L1: 0.5572159886360168
Epoch: 194, batch-idx: 735, L1: 0.6702549457550049
Epoch: 195, batch-idx: 735, L1: 1.0257222652435303
Epoch: 196, batch-idx: 735, L1: 0.5545312762260437
Epoch: 197, batch-idx: 735, L1: 0.5941608548164368
Epoch: 198, batch-idx: 735, L1: 0.6512404084205627
Epoch: 199, batch-idx: 735, L1: 1.0168274641036987
Epoch: 200, batch-idx: 735, L1: 0.6888623833656311
Epoch: 201, batch-idx: 735, L1: 0.7042480707168579
Epoch: 202, batch-idx: 735, L1: 0.7564681768417358
Epoch: 203, batch-idx: 735, L1: 0.6627562046051025
Epoch: 204, batch-idx: 735, L1: 0.7352581024169922
Epoch: 205, batch-idx: 735, L1: 0.7481718063354492
Epoch: 206, batch-idx: 735, L1: 0.5747599005699158
Epoch: 207, batch-idx: 735, L1: 0.7677964568138123
Epoch: 208, batch-idx: 735, L1: 0.7656245827674866
Epoch: 209, batch-idx: 735, L1: 0.6299972534179688
Epoch: 210, batch-idx: 735, L1: 0.6362094879150391
Epoch: 211, batch-idx: 735, L1: 0.6678938269615173
Epoch: 212, batch-idx: 735, L1: 0.5670148134231567
Epoch: 213, batch-idx: 735, L1: 0.831265389919281
Epoch: 214, batch-idx: 735, L1: 0.6060259938240051
Epoch: 215, batch-idx: 735, L1: 0.9055702090263367
Epoch: 216, batch-idx: 735, L1: 0.6080693006515503
Epoch: 217, batch-idx: 735, L1: 0.658013105392456
Epoch: 218, batch-idx: 735, L1: 0.6686335206031799
Epoch: 219, batch-idx: 735, L1: 0.525513231754303
Epoch: 220, batch-idx: 735, L1: 0.8099363446235657
Epoch: 221, batch-idx: 735, L1: 0.5447031259536743
Epoch: 222, batch-idx: 735, L1: 0.9221843481063843
Epoch: 223, batch-idx: 735, L1: 0.5904054045677185
Epoch: 224, batch-idx: 735, L1: 0.7622233033180237
Epoch: 225, batch-idx: 735, L1: 0.7043401598930359
Epoch: 226, batch-idx: 735, L1: 0.7314606308937073
Epoch: 227, batch-idx: 735, L1: 1.0951286554336548
Epoch: 228, batch-idx: 735, L1: 0.6030589938163757
Epoch: 229, batch-idx: 735, L1: 0.5888780951499939
Epoch: 230, batch-idx: 735, L1: 0.6783902049064636
Epoch: 231, batch-idx: 735, L1: 0.5073426961898804
Epoch: 232, batch-idx: 735, L1: 0.6506718397140503
Epoch: 233, batch-idx: 735, L1: 0.5657745599746704
Epoch: 234, batch-idx: 735, L1: 0.8121299147605896
Epoch: 235, batch-idx: 735, L1: 0.6428169012069702
Epoch: 236, batch-idx: 735, L1: 0.6093952059745789
