CPU Usage (%),RAM Usage (GB),GPU Usage (%),GPU Memory Usage (GB),Epoch times (seconds)
78.8,45.22315979003906,93.0,79.13671875,8.470812320709229
67.3,45.26974105834961,95.0,79.13671875,9.291054248809814
74.7,45.30302810668945,92.0,79.13671875,6.852903366088867
78.2,45.26573944091797,96.0,79.13671875,8.056628465652466
75.9,45.35274124145508,89.0,79.13671875,7.3643152713775635
78.0,45.347721099853516,99.0,79.13671875,8.262833595275879
67.4,45.33779525756836,85.0,79.13671875,9.392573118209839
73.1,45.32533645629883,25.0,79.13671875,6.713541269302368
73.3,45.25115203857422,88.0,79.13671875,6.685260057449341
77.1,45.17844772338867,79.0,79.13671875,8.125412940979004
76.0,45.283775329589844,100.0,79.13671875,7.126569747924805
67.9,45.25339126586914,93.0,79.13671875,8.569227695465088
79.4,45.25880432128906,93.0,79.13671875,9.311577081680298
76.3,45.258628845214844,93.0,79.13671875,7.831608772277832
76.2,45.2265739440918,36.0,79.13671875,7.009337663650513
74.0,45.3282585144043,94.0,79.13671875,7.027078151702881
64.8,45.302738189697266,94.0,79.13671875,9.061197757720947
77.8,45.2578010559082,91.0,79.13671875,8.183751821517944
78.7,45.24721908569336,92.0,79.13671875,8.579383611679077
73.6,45.29672622680664,17.0,79.13671875,6.6522886753082275
74.0,45.54780197143555,89.0,79.13671875,7.377073287963867
67.8,45.3214111328125,93.0,79.13671875,9.211344480514526
77.4,45.34382247924805,93.0,79.13671875,8.104975461959839
77.9,45.28379821777344,8.0,79.13671875,8.00332498550415
75.5,45.30280685424805,100.0,79.13671875,7.032037973403931
76.2,45.30955123901367,76.0,79.13671875,6.962603330612183
64.1,45.27458190917969,90.0,79.13671875,8.230452060699463
75.8,45.288597106933594,0.0,79.13671875,8.210086345672607
76.0,45.24665069580078,86.0,79.12109375,8.356914043426514
76.3,45.29536056518555,88.0,79.119140625,8.143962144851685
72.9,45.261085510253906,91.0,79.119140625,7.109555959701538
70.2,45.27122497558594,26.0,79.119140625,9.324944496154785
