,number,value,datetime_start,datetime_complete,duration,params_beta1,params_beta2,params_hidden_dim,params_learning_rate,params_num_heads,params_num_layers,params_weight_decay,state
335,335,0.009571438516163594,2024-04-30 12:09:06.139735,2024-04-30 12:11:56.470755,0 days 00:02:50.331020,0.8921594201802666,0.9895557880998032,896,0.0007741465365345164,8,1,4.547832350678745e-05,COMPLETE
336,336,0.008564546883702923,2024-04-30 12:09:20.209957,2024-04-30 12:10:54.018554,0 days 00:01:33.808597,0.892597344426592,0.9890588752724649,896,0.0010245223090851662,8,1,4.49541349381143e-05,COMPLETE
337,337,0.008017658072551994,2024-04-30 12:09:38.668148,2024-04-30 12:14:37.388938,0 days 00:04:58.720790,0.8932635207249784,0.9870962564550083,896,0.0010069139010465548,2,1,4.362766506148622e-05,COMPLETE
338,338,0.008400780695099464,2024-04-30 12:09:41.782664,2024-04-30 12:11:19.081696,0 days 00:01:37.299032,0.8925754823172409,0.9890979005400357,896,0.001034337188338362,8,1,4.4952616784407455e-05,COMPLETE
339,339,0.007453286469998685,2024-04-30 12:09:43.682939,2024-04-30 12:11:13.080528,0 days 00:01:29.397589,0.8993267943637554,0.9884626560065968,896,0.0010287027678663383,8,1,4.278821912159283e-05,COMPLETE
340,340,0.008848708260046455,2024-04-30 12:10:05.629923,2024-04-30 12:11:52.753334,0 days 00:01:47.123411,0.8927671029630221,0.9893040785169417,896,0.0010456249941124777,8,1,4.4684392550340176e-05,COMPLETE
341,341,0.038307602674543084,2024-04-30 12:10:45.021518,2024-04-30 12:12:49.631229,0 days 00:02:04.609711,0.8998805949076946,0.9981070933060538,896,0.0007817382735885735,8,1,4.260087620498119e-05,COMPLETE
342,342,0.009488066601933855,2024-04-30 12:10:54.368702,2024-04-30 12:12:28.294047,0 days 00:01:33.925345,0.8998591493217559,0.9901324684903579,896,0.0008503059556239391,8,1,4.183323177926089e-05,COMPLETE
343,343,0.029535751636603692,2024-04-30 12:11:13.205814,2024-04-30 12:12:42.979170,0 days 00:01:29.773356,0.8914100899872667,0.9976093061312049,896,0.0007778075192293664,8,1,4.0971861247351056e-05,COMPLETE
344,344,0.03152417885018634,2024-04-30 12:11:19.154041,2024-04-30 12:12:57.315075,0 days 00:01:38.161034,0.892461175323695,0.9977367671264493,896,0.0007827106044268253,8,1,4.096232085807057e-05,COMPLETE
345,345,0.02249508701039083,2024-04-30 12:11:52.832372,2024-04-30 12:13:40.437396,0 days 00:01:47.605024,0.8927428848704689,0.9957418484159203,896,0.0007824391898275535,8,1,3.9681109512657855e-05,COMPLETE
346,346,0.028385795991529118,2024-04-30 12:11:56.586093,2024-04-30 12:14:48.457864,0 days 00:02:51.871771,0.8928418818802699,0.9971012925216867,896,0.0008063171669920408,8,1,4.374537153812546e-05,COMPLETE
347,347,0.03554351582671657,2024-04-30 12:12:28.379836,2024-04-30 12:14:02.011377,0 days 00:01:33.631541,0.8907661124792459,0.9973241581192517,896,0.0006997690358856077,8,1,3.998435448655913e-05,COMPLETE
348,348,0.03696955083284801,2024-04-30 12:12:43.057696,2024-04-30 12:14:12.388751,0 days 00:01:29.331055,0.8923140204274629,0.9973023853162176,896,0.0006341828229254002,8,1,4.339311469828256e-05,COMPLETE
349,349,0.012909365668731592,2024-04-30 12:12:49.729016,2024-04-30 12:14:56.197111,0 days 00:02:06.468095,0.8916265420057187,0.9882151836632215,896,0.001043547496041282,8,1,4.314975946514516e-05,COMPLETE
350,350,0.00823446089458285,2024-04-30 12:12:57.403490,2024-04-30 12:14:35.361250,0 days 00:01:37.957760,0.8862501526214777,0.9839612963659352,896,0.0010150685522221526,8,1,4.3032369734709616e-05,COMPLETE
351,351,0.008958478633604654,2024-04-30 12:13:40.532888,2024-04-30 12:15:29.135167,0 days 00:01:48.602279,0.8853096560458413,0.9827071815194941,896,0.0010575244013504089,8,1,4.343348048266602e-05,COMPLETE
352,352,0.00878762559828175,2024-04-30 12:14:02.091410,2024-04-30 12:15:35.601262,0 days 00:01:33.509852,0.8854518458964594,0.9827562643966379,896,0.0010537811218453456,8,1,4.332917107263769e-05,COMPLETE
353,353,0.008609153525863503,2024-04-30 12:14:12.465731,2024-04-30 12:15:42.512976,0 days 00:01:30.047245,0.8848969431100008,0.981519375408036,896,0.0010609930910367555,8,1,4.8263033358047134e-05,COMPLETE
354,354,0.00887268665145873,2024-04-30 12:14:35.433723,2024-04-30 12:16:15.508698,0 days 00:01:40.074975,0.8846863983453215,0.9827058640847661,896,0.001080253897423238,8,1,4.799103815738576e-05,COMPLETE
355,355,0.009091569292177628,2024-04-30 12:14:37.467988,2024-04-30 12:19:22.542645,0 days 00:04:45.074657,0.8853991971945329,0.9877327196977234,896,0.0010187251437125072,8,1,4.336189034547761e-05,COMPLETE
356,356,0.008835630989290806,2024-04-30 12:14:48.533899,2024-04-30 12:17:39.601886,0 days 00:02:51.067987,0.883295857428992,0.9790864329001144,896,0.0010918478771286477,8,1,4.843252865513403e-05,COMPLETE
357,357,0.009942744404996758,2024-04-30 12:14:56.338206,2024-04-30 12:17:01.394378,0 days 00:02:05.056172,0.8829650923424505,0.9806113680732724,896,0.001150363801595465,8,1,4.846039485439481e-05,COMPLETE
358,358,0.022792993827009354,2024-04-30 12:15:29.243473,2024-04-30 12:17:18.842273,0 days 00:01:49.598800,0.8861306030789267,0.9813549533312209,896,0.0012096631791922935,8,1,4.73115467624398e-05,COMPLETE
359,359,0.010886815132661945,2024-04-30 12:15:35.698312,2024-04-30 12:17:08.857982,0 days 00:01:33.159670,0.8852520302972292,0.9806198752353963,896,0.0012517238394475893,8,1,4.770660799679972e-05,COMPLETE
360,360,0.009513269043507385,2024-04-30 12:15:42.636344,2024-04-30 12:17:11.758863,0 days 00:01:29.122519,0.8994948483740668,0.9798393805019572,896,0.0012639210702418578,8,1,4.7958023517982535e-05,COMPLETE
361,361,0.009452086208122117,2024-04-30 12:16:02.711595,2024-04-30 13:39:44.922561,0 days 01:23:42.210966,0.8851164088609165,0.9787510150498647,896,0.0011871531099317293,8,1,4.842495356413142e-05,COMPLETE
362,362,0.00814471376487316,2024-04-30 12:16:15.608065,2024-04-30 12:17:52.899962,0 days 00:01:37.291897,0.8984892388018927,0.9785572024060918,896,0.001250054487947947,8,1,4.741711229863324e-05,COMPLETE
363,363,0.01016548741205688,2024-04-30 12:17:01.473444,2024-04-30 12:19:01.153596,0 days 00:01:59.680152,0.8975489947929727,0.9835884420074197,896,0.0012087924771978951,8,1,4.54580567886954e-05,COMPLETE
364,364,0.008295889524541376,2024-04-30 12:17:08.983384,2024-04-30 12:18:40.566386,0 days 00:01:31.583002,0.8996997874230833,0.9778148659491089,896,0.0009577978938394681,8,1,4.5442615284310267e-05,COMPLETE
365,365,0.00867186760070262,2024-04-30 12:17:12.095508,2024-04-30 12:18:38.508814,0 days 00:01:26.413306,0.8981336050213052,0.9764255420640862,640,0.0009491423945242525,8,1,4.59673366348571e-05,COMPLETE
366,366,0.008619048094449492,2024-04-30 12:17:18.937168,2024-04-30 12:19:01.608361,0 days 00:01:42.671193,0.8987635017447175,0.9755890642147518,512,0.0009634031113025078,8,1,4.472508325692947e-05,COMPLETE
367,367,0.008438618571469278,2024-04-30 12:17:39.683817,2024-04-30 12:20:08.771871,0 days 00:02:29.088054,0.8997542176078129,0.9881025458958737,640,0.0006015360393320454,8,1,4.518302734526927e-05,COMPLETE
368,368,0.007898822223195138,2024-04-30 12:17:52.992384,2024-04-30 12:19:28.627739,0 days 00:01:35.635355,0.8992616911554695,0.9880597564221707,896,0.0009481772868918936,8,1,4.540970721527435e-05,COMPLETE
369,369,0.008170676157604178,2024-04-30 12:18:30.621101,2024-04-30 12:38:02.121235,0 days 00:19:31.500134,0.8993955670390424,0.9779282242968579,1024,0.0009172784863993154,8,1,4.4851837111962134e-05,COMPLETE
370,370,0.008841028426939146,2024-04-30 12:18:38.574808,2024-04-30 12:20:04.449096,0 days 00:01:25.874288,0.898818885264346,0.9745225360299057,640,0.0009497058453438811,8,1,4.497694903901979e-05,COMPLETE
371,371,0.009116117749766353,2024-04-30 12:18:40.640482,2024-04-30 12:20:09.864134,0 days 00:01:29.223652,0.8999106457593344,0.9752993686224112,640,0.0009762041038510837,8,1,4.4293842361914655e-05,COMPLETE
372,372,0.008792326237312902,2024-04-30 12:19:01.255391,2024-04-30 12:20:50.110220,0 days 00:01:48.854829,0.8996563566767088,0.9741446167451548,640,0.0009654829535474447,8,1,4.1991817839667454e-05,COMPLETE
373,373,0.008787783479632496,2024-04-30 12:19:01.862108,2024-04-30 12:20:40.660494,0 days 00:01:38.798386,0.8991933728481959,0.9746540049841467,512,0.000629560192151228,8,1,4.190263833707054e-05,COMPLETE
374,374,0.008660477529646772,2024-04-30 12:19:22.626807,2024-04-30 12:23:18.825187,0 days 00:03:56.198380,0.899444683401243,0.9779669862160474,512,0.0006580567742880696,8,1,4.185208027611519e-05,COMPLETE
375,375,0.008303469000585796,2024-04-30 12:19:28.756391,2024-04-30 12:21:00.507434,0 days 00:01:31.751043,0.8997391969758487,0.9747465668787577,512,0.0005872530125010095,8,1,4.100191635250429e-05,COMPLETE
376,376,0.008910248936980447,2024-04-30 12:20:04.571036,2024-04-30 12:21:29.256173,0 days 00:01:24.685137,0.8812116651563493,0.9746817620446174,512,0.0005918777078277521,8,1,4.2176398482022834e-05,COMPLETE
377,377,0.009162399311070189,2024-04-30 12:20:08.864466,2024-04-30 12:22:30.167480,0 days 00:02:21.303014,0.8797099539839844,0.9887733851428444,640,0.0006166745167814563,8,1,4.0260057724906693e-05,COMPLETE
378,378,0.010012657095343519,2024-04-30 12:20:09.985511,2024-04-30 12:21:37.802678,0 days 00:01:27.817167,0.8788180872382797,0.989568788639933,640,0.0005985289048445152,8,1,4.1418083754931046e-05,COMPLETE
379,379,0.010650990540927751,2024-04-30 12:20:40.762191,2024-04-30 12:22:18.597756,0 days 00:01:37.835565,0.8784458410452823,0.989706328195677,640,0.000618180412908712,8,1,4.204406523020279e-05,COMPLETE
380,380,0.040961509723683974,2024-04-30 12:20:50.255831,2024-04-30 12:22:42.023788,0 days 00:01:51.767957,0.8791170529383336,0.9988724516939507,1024,0.0006057297261821339,8,1,4.96711432847393e-05,COMPLETE
381,381,0.010981948254025214,2024-04-30 12:21:00.597533,2024-04-30 12:22:31.141241,0 days 00:01:30.543708,0.8788493168359784,0.6678361741011738,512,0.000608071081147355,8,1,4.194324556694371e-05,COMPLETE
382,382,0.009221780279175544,2024-04-30 12:21:29.370330,2024-04-30 12:22:53.710333,0 days 00:01:24.340003,0.8906869331093962,0.9905388930678493,512,0.0005564810327290634,8,1,4.0907987973489674e-05,COMPLETE
383,383,0.03307300124688324,2024-04-30 12:21:37.896907,2024-04-30 12:23:04.635742,0 days 00:01:26.738835,0.8909107776500271,0.9903127866474642,512,0.009943284035125613,8,1,3.464617026871285e-05,COMPLETE
384,384,0.01021606492249545,2024-04-30 12:22:18.720446,2024-04-30 12:23:57.910030,0 days 00:01:39.189584,0.891123942202068,0.9904997731643371,512,0.0004149285931455578,8,1,4.0296879309114455e-05,COMPLETE
385,385,0.04056655765547381,2024-04-30 12:22:30.266520,2024-04-30 12:25:04.123588,0 days 00:02:33.857068,0.8906433708110769,0.9978095593615286,128,0.0004056084015245791,8,1,4.5346920685365724e-05,COMPLETE
386,386,0.010087454028314713,2024-04-30 12:22:31.246819,2024-04-30 12:24:03.230728,0 days 00:01:31.983909,0.8929878904057409,0.9908108458720167,896,0.0012744846222766549,8,1,4.95782657915819e-05,COMPLETE
387,387,0.02688101397674063,2024-04-30 12:22:42.141047,2024-04-30 12:24:39.250212,0 days 00:01:57.109165,0.8910132102941969,0.9982284480507594,768,0.00034174460865070964,8,1,4.5264286534758166e-05,COMPLETE
388,388,0.00883307492005683,2024-04-30 12:22:53.809381,2024-04-30 12:24:17.501231,0 days 00:01:23.691850,0.8888200001858776,0.786792159563579,768,0.0012551061435997315,8,1,3.54027233410839e-05,COMPLETE
389,389,0.033574778739830634,2024-04-30 12:23:04.771201,2024-04-30 12:24:30.949093,0 days 00:01:26.177892,0.8910563040452952,0.9980804387978452,768,0.009116215229122652,8,1,2.2843193846743607e-05,COMPLETE
390,390,0.023881110475596153,2024-04-30 12:23:18.914159,2024-04-30 12:51:50.030214,0 days 00:28:31.116055,0.5942650432343987,0.9866293405731714,128,0.0013541204602534789,8,3,4.5298604147774254e-05,COMPLETE
391,391,0.009712287422382471,2024-04-30 12:23:58.006730,2024-04-30 12:26:12.997867,0 days 00:02:14.991137,0.890836677948662,0.9977981103742883,128,0.0012887746979221603,8,3,4.537421699158577e-05,COMPLETE
392,392,0.010923855651766706,2024-04-30 12:24:03.351353,2024-04-30 12:25:36.712022,0 days 00:01:33.360669,0.8905735150794555,0.5956809004255996,768,0.001248461035686334,8,1,4.5214606236038676e-05,COMPLETE
393,393,0.038301944805236604,2024-04-30 12:24:17.583477,2024-04-30 12:26:08.298328,0 days 00:01:50.714851,0.8916980806130294,0.9987476700204534,896,0.0008311316010923233,8,3,4.5006929089058024e-05,COMPLETE
394,394,0.008768347944677263,2024-04-30 12:24:31.096554,2024-04-30 12:26:19.566227,0 days 00:01:48.469673,0.8998096765725501,0.9724714876533636,128,0.0008509619462786842,8,3,4.486661180538621e-05,COMPLETE
395,395,0.007738463129058029,2024-04-30 12:24:39.497208,2024-04-30 12:28:29.638856,0 days 00:03:50.141648,0.8933177208503311,0.9711362161832263,896,0.0008355719755322039,8,3,4.599866127238162e-05,COMPLETE
396,396,0.007560726287432047,2024-04-30 12:25:04.475041,2024-04-30 12:37:31.751847,0 days 00:12:27.276806,0.8931180173336771,0.9696291834927021,896,0.0008210606504449139,8,3,4.649315947925e-05,COMPLETE
397,397,0.008072684569389144,2024-04-30 12:25:36.801942,2024-04-30 12:27:39.840334,0 days 00:02:03.038392,0.8995578875157251,0.9699094124712977,896,0.0008611322560162905,8,3,4.635099640097285e-05,COMPLETE
398,398,0.009029626860424425,2024-04-30 12:26:08.366286,2024-04-30 12:27:21.645389,0 days 00:01:13.279103,0.8838153926354675,0.9678317501221295,896,0.0008415779849359774,8,1,4.694315946596283e-05,COMPLETE
399,399,0.007969654999770127,2024-04-30 12:26:13.057795,2024-04-30 12:29:11.049471,0 days 00:02:57.991676,0.8846614857494806,0.972998036964255,896,0.0008441401255229431,8,4,6.216657794519397e-05,COMPLETE
400,400,0.009524147647122541,2024-04-30 12:26:19.629277,2024-04-30 12:27:34.758883,0 days 00:01:15.129606,0.8999926134074756,0.8111912494683746,896,0.0008151304703573737,8,1,3.902959418564353e-05,COMPLETE
401,401,0.009048975673524333,2024-04-30 12:27:21.703933,2024-04-30 12:28:36.442030,0 days 00:01:14.738097,0.8853582870613841,0.9597408783659198,896,0.0010875324770905372,8,1,3.869249770597093e-05,COMPLETE
402,402,0.011749092969253208,2024-04-30 12:27:34.826070,2024-04-30 12:28:51.008337,0 days 00:01:16.182267,0.8845978249037598,0.9829025461288924,896,0.0010937635077644513,8,1,4.831646370722284e-05,COMPLETE
403,403,0.008101736530016512,2024-04-30 12:27:40.067848,2024-04-30 12:29:43.513417,0 days 00:02:03.445569,0.8851981530282721,0.9605831863720691,896,0.001026561344515476,8,3,4.8946482309238814e-05,COMPLETE
404,404,0.009762717666934966,2024-04-30 12:28:29.760775,2024-04-30 12:34:21.680430,0 days 00:05:51.919655,0.8843243402832448,0.9595202264858281,896,0.00030827494971586686,8,3,4.92498559692593e-05,COMPLETE
405,405,0.03469239615581252,2024-04-30 12:28:36.549921,2024-04-30 12:30:19.376981,0 days 00:01:42.827060,0.8758445085526841,0.7186205210875183,896,0.005010756986637658,8,3,4.93766828449615e-05,COMPLETE
406,406,0.08661399099540401,2024-04-30 12:28:51.070828,2024-04-30 12:30:38.041258,0 days 00:01:46.970430,0.5941571653812042,0.981405292661975,896,0.0014384444193652627,8,3,4.944717354161597e-05,COMPLETE
407,407,0.008365143898842268,2024-04-30 12:29:11.333962,2024-04-30 12:32:24.240473,0 days 00:03:12.906511,0.8999324539137831,0.9718749366043363,896,0.0011307772749968455,8,4,4.376364898365033e-05,COMPLETE
